Name,Location,Address,PRICE RANGE,CUISINES,SPECIAL DIETS,Meals,FEATURES,Link,Southern-Italian,Japanese Fusion,Korean,Indonesian,Middle Eastern,Central-Italian,Diner,Steakhouse,Pizza,Southwestern,Wine Bar,Cajun & Creole,Bar,Latin,Seafood,Scottish,Mexican,Singaporean,Central European,Spanish,Deli,Cafe,Barbecue,Gastropub,Italian,Mongolian,Vietnamese,Thai,International,French,Contemporary,Polynesian,German,Afghani,Street Food,Lebanese,Australian,Cuban,Pub,Soups,Fusion,Moroccan,Caribbean,Dining bars,Sushi,Sri Lankan,Portuguese,Malaysian,Asian,British,Mediterranean,Turkish,Healthy,Indian,Irish,Pakistani,Arabic,Sicilian,Japanese,African,Fast Food,Beer restaurants,Fujian,Chinese,European,American,Grill,Dog Friendly,Gift Cards Available,Serves Alcohol,Digital Payments,Accepts Credit Cards,Buffet,Accepts Mastercard,BYOB,Live Music,Family style,Table Service,Takeout,Wheelchair Accessible,Wine and Beer,Full Bar,Accepts Discover,Cash Only,Free off-street parking,Valet Parking,Private Dining,Delivery,Accepts Visa,Television,Highchairs Available,Validated Parking,Reservations,Jazz Bar,Non-smoking restaurants,Free Wifi,Accepts American Express,Street Parking,Beach,Parking Available,Outdoor Seating,Waterfront,Seating,Halal,Vegetarian Friendly,Kosher,Nonveg,Vegan Options,Gluten Free Options,Drinks,Late Night,Lunch,Breakfast,Brunch,Dinner,Budget,Low,Medium,High,cluster
Black Pepper,"Chatham Street No. 62/6, Dutch Hospital Square, Colombo 01000 Sri Lanka","Dutch Hospital Square, Colombo 01000 ","[' 2,500 ', '  6,000']","Seafood, Asian, Sri Lankan",Vegetarian Friendly,"Lunch, Dinner","Wheelchair Accessible, Reservations, Seating, Free off-street parking, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Table Service, Parking Available, Highchairs Available, Full Bar",https://www.tripadvisor.com/Restaurant_Review-g293962-d11864887-Reviews-Black_Pepper-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,Medium,0,1,0,3
Playtrix Sports Bar and Cafe,"137 Sir James Pieris Mawatha Colombo City Centre Mall, Colombo 00200 Sri Lanka","Sir James Pieris Mawatha Colombo City Centre Mall, Colombo 00200 ","[' 500 ', '  1,400']","American, Gastropub, Sri Lankan",Vegetarian Friendly,"Dinner, Drinks","akeout, Reservations, Seating, Parking Available, Television, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Full Bar, Accepts Credit Cards, Table Service, Free off-street parking, Wine and Beer, BYOB",https://www.tripadvisor.com/Restaurant_Review-g293962-d7931108-Reviews-Playtrix_Sports_Bar_and_Cafe-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,Low,1,0,0,3
Park Street Mews Restaurant,"50/1 Park Street Colombo 2, Colombo 00200 Sri Lanka","Park Street Colombo 2, Colombo 00200","[' 989 ', '  2,967']","European, International","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Drinks","Outdoor Seating, Seating, Parking Available, Street Parking, Validated Parking, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Highchairs Available, Wheelchair Accessible, Accepts Credit Cards, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d1575108-Reviews-Park_Street_Mews_Restaurant-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,Low,1,0,0,3
Mitsi's Delicacies,"34A Bagatalle Road, Colombo 00300 Sri Lanka","Bagatalle Road, Colombo 00300 ","[' 1000 ', '  30 000']","Cafe, European","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner, Late Night, Drinks","Takeout, Reservations, Outdoor Seating, Seating, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d6000285-Reviews-Mitsi_s_Delicacies-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,Medium,0,1,0,3
Calorie Counter Colombo 7,"59, Ward Place, Colombo Sri Lanka","Ward Place, Colombo ","[' 396 ', '  2,374']","International, Grill, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch","Takeout, Outdoor Seating, Seating, Street Parking, Free off-street parking, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Delivery, Accepts Credit Cards",https://www.tripadvisor.com/Restaurant_Review-g293962-d7607871-Reviews-Calorie_Counter_Colombo_7-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,Low,1,0,0,3
Flavoured at Cinnamon Red,"59 Ananda Coomaraswamy MW, Colombo 03 59, Ananda Coomaraswamy Mawatha, Colombo Sri Lanka","Ananda Coomaraswamy Mawatha, Colombo","[' 1,978 ', '  3,956']","International, Sri Lankan, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Breakfast, Dinner","Seating, Reservations, Buffet, Parking Available, Free off-street parking, Highchairs Available, Wheelchair Accessible, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Table Service, Validated Parking, Valet Parking, Serves Alcohol, Full Bar",https://www.tripadvisor.com/Restaurant_Review-g293962-d9739661-Reviews-Flavoured_at_Cinnamon_Red-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,Low,1,0,0,3
Park Street Trattoria,"50/1 Parks street Colombo, Colombo 00200 Sri Lanka","Parks street Colombo, Colombo 00200 ","[' 1,978 ', '  5,935']","Italian, Pizza, Mediterranean, European","Vegetarian Friendly, Gluten Free Options, Vegan Options","Lunch, Dinner, Drinks","Takeout, Reservations, Outdoor Seating, Seating, Street Parking, Free off-street parking, Highchairs Available, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d8751256-Reviews-Park_Street_Trattoria-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,Medium,0,1,0,3
Cloud Red,"No.59 Ananda Coomaraswami Mawatha, Colombo 00003 Sri Lanka","Ananda Coomaraswami Mawatha, Colombo 00003 ","[' 1,583 ', '  2,967']","Contemporary, Bar",Vegetarian Friendly,"Dinner, Drinks","Outdoor Seating, Seating, Parking Available, Free off-street parking, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Reservations, Wine and Beer, Table Service, Validated Parking, Accepts Credit Cards",https://www.tripadvisor.com/Restaurant_Review-g293962-d7341797-Reviews-Cloud_Red-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,Low,1,0,0,3
The Fat Crab,"53 Haig Road Colombo 04, Colombo 00400 Sri Lanka","Haig Road Colombo 04, Colombo 00400","[' 5 ', '  30']","Seafood, Asian, Sri Lankan",Nonveg,"Lunch, Dinner","Highchairs Available, Takeout, Reservations, Seating, Street Parking, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d6894994-Reviews-The_Fat_Crab-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,Low,1,0,0,3
The Sizzle,"32 Walukarama Road, Colombo 00300 Sri Lanka","Walukarama Road, Colombo 00300 ","[' 791 ', '  5,935']",Indian,Vegetarian Friendly,"Lunch, Dinner","Takeout, Seating, Parking Available, Street Parking, Validated Parking, Free off-street parking, Television, Highchairs Available, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Delivery, Reservations, Private Dining, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1436615-Reviews-The_Sizzle-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,Medium,0,1,0,3
The Barnesbury,"91 Barnes Place Colombo 7, Colombo 01100 Sri Lanka","Barnes Place Colombo 7, Colombo 01100","[' 1000 ', '  10 000']","Sri Lankan, European","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Parking Available, Free Wifi, Takeout, Reservations, Outdoor Seating, Seating, Street Parking, Validated Parking, Free off-street parking, Television, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only, Accepts Credit Cards, Table Service, Highchairs Available",https://www.tripadvisor.com/Restaurant_Review-g293962-d4042781-Reviews-The_Barnesbury-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,Medium,0,1,0,3
Green Cabin Kollupitiya,"453 Galle Rd, Colombo 00300 Sri Lanka","Galle Rd, Colombo 00300 ","[' 1000 ', '  10 000']","Sri Lankan, Cafe",Vegetarian Friendly,"Lunch, Dinner, Brunch, Drinks, Late Night","Takeout, Reservations, Outdoor Seating, Buffet, Seating, Street Parking, Accepts Mastercard, Accepts Visa, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1133389-Reviews-Green_Cabin_Kollupitiya-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,Medium,0,1,0,3
The Bayleaf,"79 Gregory's Road Colombo 7, Colombo 00700 Sri Lanka","Gregory's Road Colombo 7, Colombo 00700","[' 1,385 ', '  3,956']",Italian,"Vegetarian Friendly, Vegan Options","Lunch, Dinner, Drinks","Seating, Parking Available, Street Parking, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Delivery, Takeout, Reservations, Outdoor Seating, Private Dining, Accepts Credit Cards, Table Service, Highchairs Available",https://www.tripadvisor.com/Restaurant_Review-g293962-d1077847-Reviews-The_Bayleaf-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,Low,1,0,0,3
