Name,Location,Address,PRICE RANGE,CUISINES,SPECIAL DIETS,Meals,FEATURES,Link,Budget
Capital Bar & Grill,"02 1 Galle Face, Colombo Shangri-La Hotel, Colombo, Colombo 00200 Sri Lanka","Galle Face, Colombo Shangri-La Hotel, Colombo, Colombo 00200 ","[' 1,978 ', '  39,565']","Steakhouse, Bar, European, Grill","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d13170985-Reviews-Capital_Bar_Grill-Colombo_Western_Province.html,Medium
Nuga Gama,"77 Galle Road, Colombo Sri Lanka","Galle Road, Colombo Sri Lanka","[' 5000 ', '  34,000']","Asian, Sri Lankan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d3267177-Reviews-Nuga_Gama-Colombo_Western_Province.html,Medium
Noodles Restaurant,"Galle Road A2 Cinnamon Grand Colombo, Colombo Sri Lanka","Cinnamon Grand Colombo, Colombo ","[' 1000 ', '  34,000']","Chinese, Asian, Thai, Vietnamese, Healthy, Sri Lankan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d15685094-Reviews-Noodles_Restaurant-Colombo_Western_Province.html,Medium
Golden Dragon,"25 Galle Road Taj Hotel, Colombo 01100 Sri Lanka","Galle Road Taj Hotel, Colombo 01100","[' 2,000 ', '  30,000']","Chinese, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Takeout, Reservations, Private Dining, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d2689090-Reviews-Golden_Dragon-Colombo_Western_Province.html,Medium
Tao,"77 Galle Road Colombo 3, Colombo 00300 Sri Lanka","Galle Road Colombo 3, Colombo 00300","[' 1000 ', '  30 000']","Vegetarian Friendly, Vegan Options, Gluten Free Options","Vegetarian Friendly, Vegan Options, Gluten Free Options",Dinner,"Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d6495691-Reviews-Tao-Colombo_Western_Province.html,Medium
"Harbour Court, The Kingsbury","48 Janadhipathi Mawatha,, Colombo Sri Lanka","Janadhipathi Mawatha,, Colombo ","[' 500 ', '  30,000']","Asian, Sri Lankan","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night","Reservations, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d4195137-Reviews-Harbour_Court_The_Kingsbury-Colombo_Western_Province.html,Medium
Ports of Call,"25 Galle Face Center Road, Colombo 00300 Sri Lanka","Galle Face Center Road, Colombo 00300","[' 500 ', '  10,000']",Sri Lankan,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner","Reservations, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Table Service, Full Bar",https://www.tripadvisor.com/Restaurant_Review-g293962-d14113953-Reviews-Ports_of_Call-Colombo_Western_Province.html,Medium
Navratna,"Taj Samudra, No. 25, Galle Face Centre Road, Colombo 03, Colombo Sri Lanka","Galle Face Centre Road, Colombo 00300","[' 2,000 ', '  30,000']","Indian, Asian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner","Takeout, Reservations, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d2654878-Reviews-Navratna-Colombo_Western_Province.html,Medium
Oak Ray Flower Drum Restaurant,"38 Thurstan Road Colombo 03, Colombo 00300 Sri Lanka","Thurstan Road , Colombo 00300 ","[' 989 ', '  2,967']","Chinese, Asian, Fusion",Vegetarian Friendly,"Lunch, Dinner","Parking Available, Street Parking, Accepts American Express, Accepts Mastercard, Accepts Visa, Delivery, Takeout, Private Dining, Seating, Highchairs Available, Serves Alcohol, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d817490-Reviews-Oak_Ray_Flower_Drum_Restaurant-Colombo_Western_Province.html,Low
Honey Beach Club,"48 Janadhipathi Mawatha Lobby Level, Ground Floor, Colombo 00100 Sri Lanka","Janadhipathi Mawatha Lobby Level, Ground Floor, Colombo 00100","[' 600 ', '  2,500']","Bar, Pizza, International, Pub, Sri Lankan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d12922777-Reviews-Honey_Beach_Club-Colombo_Western_Province.html,Low
Ramen Misoya Colombo,"Reid Avenue Race Course Promenade, Colombo 00000 Sri Lanka","Reid Avenue Race Course Promenade, Colombo 00000 ","[' 989 ', '  3,956']","Japanese, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Takeout, Reservations, Parking Available, Free off-street parking, Accepts Credit Cards, Table Service, Seating",https://www.tripadvisor.com/Restaurant_Review-g293962-d13400791-Reviews-Ramen_Misoya_Colombo-Colombo_Western_Province.html,Low
Lagoon,"117 Sir Chittampalam A Gardiner Mawatha Cinnamon Grand Colombo, Colombo 00100 Sri Lanka","Sir Chittampalam A Gardiner Mawatha Cinnamon Grand Colombo, Colombo 00100 ","[' 1000 ', '  30 000']","Seafood, Asian, Healthy, Sri Lankan","Halal, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1007094-Reviews-Lagoon-Colombo_Western_Province.html,Medium
Breeze Bar,"Cinnamon Grand Hotel, Colombo Sri Lanka","Cinnamon Grand Hotel, Colombo","[' 1000 ', '  30 000']","Bar, Pub","Vegetarian Friendly, Vegan Options, Halal, Kosher, Gluten Free Options","Lunch, Dinner, Late Night, Drinks","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Valet Parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d3443384-Reviews-Breeze_Bar-Colombo_Western_Province.html,Medium
Echo,"77, Galle Road Cinnamon Grand Hotel, Colombo Sri Lanka","Galle Road Cinnamon Grand Hotel, Colombo ","[' 2,000 ', '  30,000']","Italian, Pizza, European, Sicilian, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Takeout, Reservations, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1544691-Reviews-Echo-Colombo_Western_Province.html,Medium
Kaema Sutra,"One Galle Face Shangri-La, Colombo 00200 Sri Lanka","One Galle Face Shangri-La, Colombo 00200","[' 500 ', '  10,000']",Sri Lankan,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Late Night, Drinks","Takeout, Reservations, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d6901457-Reviews-Kaema_Sutra-Colombo_Western_Province.html,Medium
Curry Leaf,"2 Sir Chittampalam A Gardiner Mawatha Fort, Colombo Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo ","[' 500 ', '  10,000']","Seafood, Sri Lankan","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner, Late Night","Buffet, Seating, Parking Available, Valet Parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Outdoor Seating, Validated Parking, Highchairs Available, Full Bar, Accepts Credit Cards, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d1132769-Reviews-Curry_Leaf-Colombo_Western_Province.html,Medium
Il Ponte,"2 Sir Chittampalam A Gardiner Mawatha Fort, Colombo Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo ","[' 1000 ', '  30 000']","Italian, Pizza, Mediterranean, European","Vegetarian Friendly, Vegan Options","Dinner, Brunch, Lunch","Takeout, Outdoor Seating, Seating, Parking Available, Valet Parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Validated Parking, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1133412-Reviews-Il_Ponte-Colombo_Western_Province.html,Medium
The Dining room at Cinnamon Lakeside Colombo,"115 Sir Chittampalam A. Gardiner Mawatha Cinnamon Lakeside, Colombo 00200 Sri Lanka","Sir Chittampalam A. Gardiner Mawatha Cinnamon Lakeside, Colombo 00200","[' 2,000 ', '  30,000']","International, Asian, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night","Reservations, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, Buffet",https://www.tripadvisor.com/Restaurant_Review-g293962-d2424872-Reviews-The_Dining_room_at_Cinnamon_Lakeside_Colombo-Colombo_Western_Province.html,Medium
Chutneys At Cinnamon Grand Colombo,"77 Galle Road, Colombo 00300 Sri Lanka","Galle Road, Colombo 00300","[' 500 ', '  30,000']","Indian, Asian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner, Brunch, Late Night","Takeout, Reservations, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d1874044-Reviews-Chutneys_At_Cinnamon_Grand_Colombo-Colombo_Western_Province.html,Medium
The London Grill,"77 Galle Road Cinnamon Grand, Colombo 00300 Sri Lanka","Galle Road Cinnamon Grand, Colombo 00300","[' 500 ', '  40,000']","Steakhouse, European, International","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Seating, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d2458789-Reviews-The_London_Grill-Colombo_Western_Province.html,Medium
Yue Chuan,"48 Janadhipathi Mawatha, Colombo 00100 Sri Lanka","Janadhipathi Mawatha, Colombo 00100","[' 1000 ', '  30 000']","Chinese, Asian",Vegetarian Friendly,"Lunch, Dinner","Reservations, Private Dining, Seating, Validated Parking, Serves Alcohol, Table Service, Takeout, Free Wifi",https://www.tripadvisor.com/Restaurant_Review-g293962-d5598898-Reviews-Yue_Chuan-Colombo_Western_Province.html,Medium
Cafe Kumbuk,"3/1 Thambiyah Avenue, Independence Avenue, Colombo 00700 Sri Lanka","Thambiyah Avenue, Independence Avenue, Colombo 00700 ","[' 8 ', '  500']","Cafe, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Brunch, Drinks","Reservations, Outdoor Seating, Seating, Parking Available, Free off-street parking, Highchairs Available, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service, Takeout",https://www.tripadvisor.com/Restaurant_Review-g293962-d10034099-Reviews-Cafe_Kumbuk-Colombo_Western_Province.html,Low
Royal Thai - Cinnamon Lakeside,"115 Sir Chittampalam A Gardiner Mawatha Cinnamon Lakeside Colombo, Colombo 00200 Sri Lanka","Sir Chittampalam A Gardiner Mawatha Cinnamon Lakeside Colombo, Colombo 00200 ","[' 1,978 ', '  2,967']","Asian, Thai","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Takeout, Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1809583-Reviews-Royal_Thai_Cinnamon_Lakeside-Colombo_Western_Province.html,Low
Cheers Pub,"77, Galle Road, Colombo 3 Cinnamon Grand Colombo, Colombo Sri Lanka","Cinnamon Grand, Colombo","[' 500 ', '  40,000']","Bar, European, British, Pub","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Late Night, Drinks","Reservations, Seating, Parking Available, Validated Parking, Valet Parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d5308971-Reviews-Cheers_Pub-Colombo_Western_Province.html,Medium
Sea Fish Restaurant,"15 Sir Chittampalam A Gardiner Mawatha Fort, Colombo Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo ","[' 1000 ', '  30 000']","International, Sri Lankan, Seafood, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Drinks, Dinner, Brunch","Takeout, Outdoor Seating, Seating, Parking Available, Street Parking, Free off-street parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1133606-Reviews-Sea_Fish_Restaurant-Colombo_Western_Province.html,Medium
Flamingo House,"58 a Horton Place Colombo 7, Colombo Sri Lanka","a Horton Place Colombo 7, Colombo","[' 2,000 ', '  30,000']","Bar, Fusion, European, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Street Parking, Validated Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Private Dining, Accepts Credit Cards, Table Service, Highchairs Available",https://www.tripadvisor.com/Restaurant_Review-g293962-d8540285-Reviews-Flamingo_House-Colombo_Western_Province.html,Medium
Tintagel Colombo - Paradise Road,"65 Rosmead Place Colombo 07, Colombo Sri Lanka","Rosmead Place Colombo 07, Colombo","[' 3,956 ', '  9,891']","European, Fusion, Sri Lankan, Contemporary","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Valet Parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d2667381-Reviews-Tintagel_Colombo_Paradise_Road-Colombo_Western_Province.html,Medium
Botanik Bistro & Roof Top Bar,"1 Fair Way Hotel 7 Hospital Street Colombo Rooftop, Colombo 00100 Sri Lanka","Fair Way Hotel 7 Hospital Street Colombo Rooftop, Colombo 00100 ","[' 2,967 ', '  6,924']","Bar, European, Contemporary","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d12860849-Reviews-Botanik_Bistro_Roof_Top_Bar-Colombo_Western_Province.html,Medium
Paradise Road The Gallery Cafe,"2 Alfred House Road, Colombo 00300 Sri Lanka","Alfred House Road, Colombo 00300 ","[' 2,374 ', '  10,287']","International, European, British, Sri Lankan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Late Night","Outdoor Seating, Seating, Parking Available, Validated Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d802748-Reviews-Paradise_Road_The_Gallery_Cafe-Colombo_Western_Province.html,Medium
Epicure,"7 65 B Gregory's Road, Colombo Next door to the Swiss Embassy, Colombo 00700 Sri Lanka","B Gregory's Road, Colombo Next door to the Swiss Embassy, Colombo 00700 ","[' 396 ', '  2,374']","Contemporary, Healthy, International, Grill","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Late Night","Reservations, Seating, Street Parking, Free off-street parking, Wheelchair Accessible, Free Wifi, Accepts Credit Cards, Table Service, BYOB",https://www.tripadvisor.com/Restaurant_Review-g293962-d12972257-Reviews-Epicure-Colombo_Western_Province.html,Low
Long Feng – Cinnamon Lakeside,"115 Sir Chittampalam A Gardiner Mawatha Cinnamon Lakeside Colombo, Colombo 00200 Sri Lanka","Sir Chittampalam A Gardiner Mawatha Cinnamon Lakeside Colombo, Colombo 00200 ","[' 2,967 ', '  7,913']","Chinese, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Takeout, Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1023029-Reviews-Long_Feng_Cinnamon_Lakeside-Colombo_Western_Province.html,Medium
Taprobane,"77, Galle Road, Colombo 3,, Colombo Sri Lanka","Galle Road, Colombo 3,, Colombo ","[' 1000 ', '  30 000']","Asian, Sri Lankan, International","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night","Reservations, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d2432178-Reviews-Taprobane-Colombo_Western_Province.html,Medium
Barefoot Garden Cafe,"704 Galle Rd Kollupitiya, Colombo 00300 Sri Lanka","Galle Rd Kollupitiya, Colombo 00300","[' 791 ', '  2,967']","Cafe, Sri Lankan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch","Reservations, Outdoor Seating, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Jazz Bar",https://www.tripadvisor.com/Restaurant_Review-g293962-d1132743-Reviews-Barefoot_Garden_Cafe-Colombo_Western_Province.html,Low
Isso,"2 Sulaiman Terrace Green Path, Colombo 00500 Sri Lanka","Sulaiman Terrace Green Path, Colombo 00500","[' 7 ', '  10']","Seafood, Asian, Sri Lankan",Nonveg,"Lunch, Dinner, Brunch, Late Night","Delivery, Takeout, Outdoor Seating, Seating, Parking Available, Street Parking, Free off-street parking, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d10157533-Reviews-Isso-Colombo_Western_Province.html,Low
Cafe Shaze,"56 Horton Pl, Colombo 00700 Sri Lanka","Horton Pl, Colombo 00700","[' 6 ', '  9']","American, European","Vegetarian Friendly, Halal, Vegan Options, Gluten Free Options","Dinner, Brunch, Breakfast, Drinks","Delivery, Takeout, Outdoor Seating, Seating, Parking Available, Street Parking, Free off-street parking, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Accepts Credit Cards, Table Service, Highchairs Available",https://www.tripadvisor.com/Restaurant_Review-g293962-d6725690-Reviews-Cafe_Shaze-Colombo_Western_Province.html,Low
Chambers At Park Street Mews,"48 D, Park Street D, Colombo 00200 Sri Lanka","D, Park Street D, Colombo 00200 ","[' 1000 ', '  30 000']","Lebanese, Moroccan, Middle Eastern, Arabic","Vegetarian Friendly, Vegan Options, Halal","Lunch, Dinner","Takeout, Reservations, Seating, Accepts Credit Cards, Table Service, Outdoor Seating, Highchairs Available, Non-smoking restaurants",https://www.tripadvisor.com/Restaurant_Review-g293962-d14126151-Reviews-Chambers_At_Park_Street_Mews-Colombo_Western_Province.html,Medium
Dolce Italia,"5 Skelton Road, Colombo 00400 Sri Lanka","Skelton Road, Colombo 00400","[' 1000 ', '  30 000']","Italian, Cafe","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch","Delivery, Takeout, Seating, Parking Available, Wheelchair Accessible, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Outdoor Seating, Free off-street parking, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7686514-Reviews-Dolce_Italia-Colombo_Western_Province.html,Medium
